date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2026-01-01 00:00:00,17.4,13,24,0,,,3.5,,1012.8,
2026-01-02 00:00:00,17.8,15,23,1.5,,,5.8,,1005.8,
2026-01-03 00:00:00,15.5,14,20,10.7,,,9.5,,1000.3,
2026-01-04 00:00:00,16,15,18,27,,,12.2,,1000.8,
2026-01-05 00:00:00,14.7,13,17,21.9,,,9.7,,1009.9,
2026-01-06 00:00:00,12.2,10,14,6.1,,,8.6,,1020.2,
2026-01-07 00:00:00,11,7,15,0,,,5.5,,1028.2,
2026-01-08 00:00:00,12.2,8,18,0,,,5.1,,1032,
2026-01-09 00:00:00,12.6,10,16,0,,,4.9,,1030.7,
2026-01-10 00:00:00,13,10,16,0,,,5.7,,1028.5,
2026-01-11 00:00:00,13.5,11,17,0,,,7.6,,1026.2,
2026-01-12 00:00:00,14,9,20,0,,,5.6,,1021.7,
2026-01-13 00:00:00,14.2,11,18,0,,,5.6,,1016.8,
2026-01-14 00:00:00,14,11,17,0,,,5.3,,1019,
2026-01-15 00:00:00,13.2,9,17,0,,,6.3,,1022,
2026-01-16 00:00:00,13.2,11,16,7.8,,,8.6,,1019.4,
2026-01-17 00:00:00,11.2,9,14,34.3,,,7.7,,1015.4,
2026-01-18 00:00:00,10.5,9,13,19.3,,,6.7,,1008.1,
2026-01-19 00:00:00,11.1,8,15,4.8,,,5.8,,1018.8,
2026-01-20 00:00:00,11.4,9,14.4,0,,,7,,1021.8,
2026-01-21 00:00:00,13.5,11,16,2.8,,,8.1,,1017.4,
2026-01-22 00:00:00,15,13,18,6.9,,,7.7,,1014.4,
2026-01-23 00:00:00,14.6,13,16,16.2,,,11.6,,1012.3,
2026-01-24 00:00:00,12.7,9,15,27.8,,,18.2,,1017.4,
2026-01-25 00:00:00,13.2,11,16,0,,,9.4,,1024.2,
2026-01-26 00:00:00,15.1,12,19,0,,,8,,1021.8,
2026-01-27 00:00:00,15,14,17,7.4,,,12.8,,1016,
2026-01-28 00:00:00,15.8,14,18,0,,,13,,1016.4,
2026-01-29 00:00:00,16.8,16,19,0,,,6.4,,1020,
2026-01-30 00:00:00,17.2,16,19.1,0,,,10.5,,1021.4,
2026-01-31 00:00:00,16.1,14.3,17.8,0,,,7.6,,1022.6,
