date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2026-01-01 00:00:00,16.4,12,21,0,,,7.3,18.5,1012.7,146
2026-01-02 00:00:00,16.7,14,20,0,,,9.9,25.9,1005.7,113
2026-01-03 00:00:00,15.6,13,19,7.1,,,17.9,40.8,1000.6,65
2026-01-04 00:00:00,15.8,15,18,28.5,,,19.2,55.5,999.3,49
2026-01-05 00:00:00,14.3,13,16,38.8,,,9.2,31.5,1008.6,45
2026-01-06 00:00:00,11.1,6,13,0,,,8,27.8,1018.4,206
2026-01-07 00:00:00,9.8,5,15,0,,,8,16.7,1027,172
2026-01-08 00:00:00,11,7,17,0,,,3.9,16.7,1031.2,369
2026-01-09 00:00:00,11,7,16,0,,,2,14.8,1030,196
2026-01-10 00:00:00,11.5,7,16,0,,,5.2,22.2,1028,200
2026-01-11 00:00:00,11.9,8,17,0,,,6.7,22.2,1025.8,375
2026-01-12 00:00:00,10.4,4,18,0,,,4.1,16.7,1021.2,419
2026-01-13 00:00:00,12.8,6,20,0,,,3.6,20.4,1016.2,153
2026-01-14 00:00:00,12.6,9,16,2.6,,,7.4,25.9,1018.5,144
2026-01-15 00:00:00,11.6,7,17,0,,,5.4,20.4,1021,184
2026-01-16 00:00:00,12.6,11,15,14,,,14.2,37,1018.2,77
2026-01-17 00:00:00,10.9,9,14,29.1,,,11,31.5,1013.9,87
2026-01-18 00:00:00,8.9,6,11,24.7,,,9.7,27.8,1007.7,56
2026-01-19 00:00:00,10.1,6,15,3.4,,,7.9,18.5,1017.2,209
2026-01-20 00:00:00,10.3,7,14,1.7,,,12.5,25.9,1020.5,36
2026-01-21 00:00:00,13.2,10,16,11.7,,,15.3,48.2,1016.4,45
2026-01-22 00:00:00,14.8,13,18,8.3,,,13.1,46.3,1013.2,19
2026-01-23 00:00:00,14.5,13,16,43.7,,,18.1,50,1010.6,55
2026-01-24 00:00:00,12.5,9,15,43.5,,,16.5,50,1015.1,66
2026-01-25 00:00:00,13.1,11,16,5.3,,,16.1,42.6,1022.9,65
2026-01-26 00:00:00,15.1,13,18,2.7,,,14.6,37,1020.8,81
2026-01-27 00:00:00,14.6,13,17,20.2,,,23.2,55.5,1014.6,25
2026-01-28 00:00:00,15.9,15,17,7.6,,,23.5,61.1,1014.7,3
2026-01-29 00:00:00,16.6,16,19,4.7,,,10.3,40.8,1018.8,11
2026-01-30 00:00:00,16.9,16,18.4,9.6,,,18.8,40.8,1020.1,5
2026-01-31 00:00:00,15.2,10.5,17.5,0.5,,,8.9,29.6,1021.8,128
