date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,15.7,13,21,0,,,5.3,,1021.1,
2024-01-02 00:00:00,17.3,10.6,23.4,0,,,3.4,,1022.9,
2024-01-03 00:00:00,18.4,11,26.1,0,,,4.4,,1022.2,
2024-01-04 00:00:00,17.8,12.1,22.3,0,,,7,,1019.2,
2024-01-05 00:00:00,16.3,14,18.7,7.9,,,8.4,,1020,
2024-01-06 00:00:00,14.2,10.6,17.4,0,,,8.5,,1021.8,
2024-01-07 00:00:00,12.4,8,16.7,0,,,7.4,,1021.8,
2024-01-08 00:00:00,12.3,7.2,18.5,0,,,3.5,,1020.7,
2024-01-09 00:00:00,18.3,10.9,22.8,0,,,5.5,,1019.3,
2024-01-10 00:00:00,17.7,14.8,20.3,0,,,5.3,,1020.5,
2024-01-11 00:00:00,15.6,12,20,0,,,4.8,,1019.1,
2024-01-12 00:00:00,21,11.5,28.8,0,,,4,,1018.3,
2024-01-13 00:00:00,22.7,15.9,30.4,0,,,5,,1020.7,
2024-01-14 00:00:00,21.8,14,29.2,0,,,5.8,,1021.9,
2024-01-15 00:00:00,21.4,15,27.5,0,,,7.2,,1020.4,
2024-01-16 00:00:00,19,16.3,22.9,0.8,,,8.1,,1016.9,
2024-01-17 00:00:00,19.5,16,23.3,1,,,11.7,,1015.2,
2024-01-18 00:00:00,19.2,14,23.6,0,,,6.2,,1014.8,
2024-01-19 00:00:00,16.4,14.5,19,15.2,,,12.8,,1015.1,
2024-01-20 00:00:00,14.9,12,18,0,,,6.5,,1023.3,
2024-01-21 00:00:00,15.3,11,18.1,0,,,7.2,,1028.5,
2024-01-22 00:00:00,15.1,10,18.8,0,,,6.7,,1031.6,
2024-01-23 00:00:00,16.3,9,22,0,,,5,,1032.5,
2024-01-24 00:00:00,16.9,10,21.8,0,,,4.3,,1031.4,
2024-01-25 00:00:00,17.6,10.8,23.3,0,,,4.1,,1029.1,
2024-01-26 00:00:00,17.1,11,23.7,0,,,4.1,,1028.1,
2024-01-27 00:00:00,17.1,10,21.8,0,,,4.4,,1026.3,
2024-01-28 00:00:00,16.6,11.8,22.4,0,,,4,,1024.3,
2024-01-29 00:00:00,16.7,11.7,26,0,,,3.8,,1025,
2024-01-30 00:00:00,16.6,12,22.8,0,,,4.5,,1025.8,
2024-01-31 00:00:00,18.1,11.6,24.5,0,,,5.3,,1026.8,
2024-02-01 00:00:00,16.2,11,21.3,0,,,4,,1028.4,
2024-02-02 00:00:00,15.1,10,19.2,0,,,5.3,,1027.5,
2024-02-03 00:00:00,14.3,10.8,19,0,,,4.2,,1026.3,
2024-02-04 00:00:00,14.5,9,23,0,,,5.3,,1027.8,
2024-02-05 00:00:00,15.9,10.7,19.7,0,,,5.1,,1028.6,
2024-02-06 00:00:00,15.9,9.7,20.2,0,,,5.8,,1028.9,
2024-02-07 00:00:00,16.8,10,21.1,0,,,5.1,,1026.1,
2024-02-08 00:00:00,20.2,12.4,25.4,0,,,11.6,,1017.9,
2024-02-09 00:00:00,16.1,15,17.3,5.6,,,17.5,,1006.6,
2024-02-10 00:00:00,16.9,14,19.5,1.4,,,11.2,,1011.8,
2024-02-11 00:00:00,17.4,12.8,23,0,,,8.4,,1017.5,
2024-02-12 00:00:00,18.2,14,23,0,,,6.7,,1020.9,
2024-02-13 00:00:00,17.5,15,20.2,0,,,7.5,,1020.9,
2024-02-14 00:00:00,25.8,14,34.8,0,,,4.4,,1017.2,
2024-02-15 00:00:00,20.1,17.5,22,0,,,10.4,,1020.2,
2024-02-16 00:00:00,18.1,15,20.2,0,,,8.7,,1025.8,
2024-02-17 00:00:00,17.3,13,19.6,0,,,10.5,,1027.2,
2024-02-18 00:00:00,18.2,13,22,0,,,11.9,,1027.1,
2024-02-19 00:00:00,18.1,13,21.6,0,,,7,,1027.1,
2024-02-20 00:00:00,18.9,15.3,21.8,0,,,6.6,,1025.9,
2024-02-21 00:00:00,19.4,13,23.5,0,,,4.7,,1025.8,
2024-02-22 00:00:00,17.1,12,21.1,0,,,7.6,,1024.9,
2024-02-23 00:00:00,15.8,14,18,4.4,,,8.5,,1022.4,
