date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,10.6,3,19,0,,,7.5,22.2,1023.3,427
2025-01-02 00:00:00,11.1,2.6,21,0,,,9.4,22.2,1024.3,456
2025-01-03 00:00:00,9.5,1.7,19,0,,,5.3,16.7,1025.6,333
2025-01-04 00:00:00,11.5,2.9,22,0,,,4.1,14.8,1023.9,242
2025-01-05 00:00:00,14.8,6.6,23,0,,,13.3,38.9,1017.8,133
2025-01-06 00:00:00,15,11.1,20,2.5,,,18.1,42.6,1016.6,55
2025-01-07 00:00:00,12.8,7,20,0.3,,,6.3,20.4,1022.4,314
2025-01-08 00:00:00,11.3,3.8,22,0,,,6.1,24.1,1022.9,320
2025-01-09 00:00:00,12.1,5,21,0,,,3.5,16.7,1025.4,439
2025-01-10 00:00:00,13.2,6.4,21,0,,,6.9,25.9,1026.9,315
2025-01-11 00:00:00,15.9,9.1,21.1,0,,,9.6,25.9,1028.6,166
2025-01-12 00:00:00,16.3,12,20,0,,,6.2,24.1,1025.7,152
2025-01-13 00:00:00,11.2,3.8,19,0,,,6.4,25.9,1021.9,235
2025-01-14 00:00:00,11.7,3.9,18.7,0,,,22.5,40.8,1021,451
2025-01-15 00:00:00,12.1,6,20,0,,,17.5,31.5,1022.7,442
2025-01-16 00:00:00,10.2,0.6,17,0,,,9,25.9,1022.7,395
2025-01-17 00:00:00,13.4,8.3,17.7,0.5,,,12.5,25.9,1021.1,128
2025-01-18 00:00:00,10.8,3,18.2,0.3,,,10.4,18.5,1022.1,371
2025-01-19 00:00:00,10.3,2.5,18.2,0,,,4.9,20.4,1020.3,354
2025-01-20 00:00:00,12.4,5.5,20,0,,,5.7,22.2,1018.4,163
2025-01-21 00:00:00,17.3,9.3,26,0,,,11.5,20.4,1014.7,286
2025-01-22 00:00:00,17.2,11.8,23.5,0,,,13.5,24.1,1012.6,227
2025-01-23 00:00:00,14.9,9,21,0,,,9.4,25.9,1016.5,282
2025-01-24 00:00:00,12.8,5,19,0,,,5.8,24.1,1020.1,399
2025-01-25 00:00:00,13.6,8,20,0,,,5.8,22.2,1021,176
2025-01-26 00:00:00,13.6,5.7,20,0,,,6.4,22.2,1023.2,234
2025-01-27 00:00:00,16.7,11,21.3,0,,,17.2,38.9,1024.6,163
2025-01-28 00:00:00,15.3,9,19,0.5,,,6.6,25.9,1029,246
2025-01-29 00:00:00,13,5.7,18,0,,,8.5,31.5,1026.3,213
2025-01-30 00:00:00,14.1,10,16.2,24.6,,,12.5,33.3,1024.6,107
2025-01-31 00:00:00,11.2,6,16.3,0,,,14.2,25.9,1026.8,176
2025-02-01 00:00:00,11,3,17.4,0,,,16,22.2,1025.9,312
2025-02-02 00:00:00,13.4,10.7,17.5,4.3,,,14.2,27.8,1022.2,64
2025-02-03 00:00:00,14.1,11,17,1.3,,,13.8,33.3,1020.4,128
2025-02-04 00:00:00,11.3,6,17.5,0,,,10.7,27.8,1024.3,326
2025-02-05 00:00:00,12.5,6.3,20.4,0,,,15.5,31.5,1026.1,491
2025-02-06 00:00:00,11.6,3.6,21,0,,,6.1,22.2,1024.2,527
2025-02-07 00:00:00,10,1.9,17.7,0,,,5,22.2,1022.4,448
2025-02-08 00:00:00,12.6,4.2,19.2,0,,,7,20.4,1024.4,313
2025-02-09 00:00:00,13.7,7,20,0,,,7.6,27.8,1023.4,349
2025-02-10 00:00:00,12.1,4,24,0,,,4.4,16.7,1018.8,437
2025-02-11 00:00:00,13.2,3.9,22,0,,,9.1,25.9,1017.5,434
2025-02-12 00:00:00,14.4,8,19,0.5,,,7.3,27.8,1021,217
2025-02-13 00:00:00,12.4,5.3,20,0,,,6.9,27.8,1020.8,459
2025-02-14 00:00:00,12.1,5,19,0.3,,,5.4,24.1,1017.2,509
2025-02-15 00:00:00,18.2,7.1,28,0,,,7.8,24.1,1011.3,143
2025-02-16 00:00:00,14.8,11,20,9.9,,,14.5,35.2,1014,147
2025-02-17 00:00:00,12.9,7.7,19,0,,,5.2,18.5,1014.7,336
2025-02-18 00:00:00,14.8,8.7,20.1,0,,,14.5,27.8,1011.1,180
2025-02-19 00:00:00,15.5,12.9,19,1,,,11.8,27.8,1017.4,121
2025-02-20 00:00:00,13.7,8,20.4,0,,,6.4,27.8,1023.6,358
2025-02-21 00:00:00,14.2,6.8,21,0,,,6.9,25.9,1021.6,296
2025-02-22 00:00:00,14.1,9,19,4.1,,,7.6,25.9,1023.9,129
2025-02-23 00:00:00,13.4,6.8,18,0,,,8.7,29.6,1027,298
2025-02-24 00:00:00,13.9,5,22,0,,,9.2,27.8,1026.8,408
2025-02-25 00:00:00,13.6,7,19,0,,,4.5,22.2,1027.6,294
2025-02-26 00:00:00,15.5,10,20,0,,,5.1,25.9,1024.3,248
2025-02-27 00:00:00,15.1,11,18,0,,,5.3,24.1,1018.9,135
2025-02-28 00:00:00,11.9,7.6,16,0,,,11.2,35.2,1011.8,10
2025-03-01 00:00:00,12.8,7,18,0,,,9,27.8,1011.7,203
2025-03-02 00:00:00,12.4,4,19,0,,,4.7,24.1,1011.1,343
2025-03-03 00:00:00,14.1,5.8,22,0,,,7.2,24.1,1010,292
2025-03-04 00:00:00,15.6,11,19.4,0.8,,,7,24.1,1008.7,248
2025-03-05 00:00:00,15.4,10.3,19,2.8,,,7,24.1,1009.1,133
2025-03-06 00:00:00,14.3,11.5,18.1,17.5,,,9.4,22.2,1012.1,104
2025-03-07 00:00:00,14.9,7.8,21.4,0,,,9.1,33.3,1011.1,129
2025-03-08 00:00:00,14.5,10,17.6,18.5,,,21,53.7,1004.6,0
2025-03-09 00:00:00,13.4,9.8,17.4,13.7,,,23.7,57.4,1004.9,22
2025-03-10 00:00:00,15.2,11.6,18.9,26.7,,,20.3,53.7,1006.6,49
2025-03-11 00:00:00,15.7,14,17,31,,,21.3,48.2,1009.6,0
2025-03-12 00:00:00,16.7,14.3,19.4,39.9,,,15,44.5,1010.4,0
2025-03-13 00:00:00,16.2,13,19,19.6,,,21.9,64.8,1003.2,49
2025-03-14 00:00:00,13.8,10.9,16.8,17.8,,,19.2,46.3,1006.8,55
2025-03-15 00:00:00,13.6,9,17.3,3,,,9.2,29.6,1017.8,295
2025-03-16 00:00:00,13.3,7,19.1,0,,,5.9,27.8,1019.4,401
2025-03-17 00:00:00,16.2,9.8,20,0.3,,,18.9,31.5,1015,325
2025-03-18 00:00:00,15.7,12,20,7.4,,,12.1,31.5,1014.9,262
2025-03-19 00:00:00,15.3,8.8,23.5,0,,,4.5,35.2,1013.1,320
2025-03-20 00:00:00,17.6,12.5,23.9,0,,,15.3,33.3,1013.9,285
2025-03-21 00:00:00,16.3,10.6,20.1,0.5,,,13.5,38.9,1018.1,203
